Date,transaction,trx_fee,VWCE,4GLD
2019-07-30,285.760009765625,4,4,0
2019-07-30,82.39600372314453,4,0,2
2019-08-15,270.9200134277344,4,4,0
2019-08-15,87.91600036621094,4,0,2
2019-09-13,289.67999267578125,4,4,0
2019-09-13,86.69200134277344,4,0,2
2019-10-10,284.9200134277344,4,4,0
2019-10-10,87.36399841308594,4,0,2
2019-11-01,293.20001220703125,4,4,0
2019-11-01,87.01599884033203,4,0,2
2019-12-17,229.5300064086914,4,3,0
2019-12-17,85.14399719238281,4,0,2
2020-01-24,238.62000274658203,4,3,0
2020-01-24,91.76399993896484,4,0,2
2020-02-21,241.79999542236328,4,3,0
2020-02-21,97.1520004272461,4,0,2
2020-03-24,49.0,4,0,1
2020-03-24,296.299991607666,4,5,0
2020-04-07,97.78399658203125,4,0,2
2020-04-07,324.04998779296875,4,5,0
2020-05-13,50.900001525878906,4,0,1
2020-05-13,270.6400146484375,4,4,0
2020-06-12,282.6000061035156,4,4,0
2020-06-12,99.1240005493164,4,0,2
2020-07-01,100.68000030517578,4,0,2
2020-07-01,287.4800109863281,4,4,0
2020-08-28,53.2400016784668,4,0,1
2020-08-28,303.239990234375,4,4,0
2020-09-23,102.87999725341797,4,0,2
2020-09-23,294.8399963378906,4,4,0
2020-10-14,104.4800033569336,4,0,2
2020-10-14,231.75,4,3,0
2020-11-25,97.76799774169922,4,0,2
2020-11-25,241.5300064086914,4,3,0
2020-12-29,244.20000457763672,4,3,0
2020-12-29,98.90799713134766,4,0,2
2021-01-06,247.04999542236328,4,3,0
2021-01-06,99.86000061035156,4,0,2
2021-02-22,95.86000061035156,4,0,2
2021-02-22,258.4199981689453,4,3,0
2021-03-08,91.12000274658203,4,0,2
2021-03-08,259.5899963378906,4,3,0
2021-04-12,93.58799743652344,4,0,2
2021-04-12,271.25999450683594,4,3,0
2021-05-18,98.40799713134766,4,0,2
2021-05-18,268.8899917602539,4,3,0
2021-06-18,278.5199890136719,4,3,0
2021-06-18,96.41999816894531,4,0,2
2021-07-07,98.19599914550781,4,0,2
2021-07-07,191.3000030517578,4,2,0
2021-08-23,98.91200256347656,4,0,2
2021-08-23,194.55999755859375,4,2,0
2021-09-21,97.77999877929688,4,0,2
2021-09-21,288.50999450683594,4,3,0
2021-10-06,286.34999084472656,4,3,0
2021-10-06,98.03199768066406,4,0,2
2021-11-17,105.98999786376953,4,0,2
2021-11-17,209.27999877929688,4,2,0
2021-12-29,208.63999938964844,4,2,0
2021-12-29,102.20999908447266,4,0,2
2022-01-21,103.98999786376953,4,0,2
2022-01-21,199.63999938964844,4,2,0
2022-02-16,198.10000610351562,4,2,0
2022-02-16,105.44000244140625,4,0,2
2022-03-21,56.38999938964844,4,0,1
2022-03-21,299.5199890136719,4,3,0
2022-04-19,58.244998931884766,4,0,1
2022-04-19,202.47999572753906,4,2,0
2022-05-17,55.59000015258789,4,0,1
2022-05-17,287.6100082397461,4,3,0
2022-06-16,264.92999267578125,4,3,0
2022-06-16,56.47999954223633,4,0,1
2022-07-28,55.54499816894531,4,0,1
2022-07-28,293.9100036621094,4,3,0
2022-08-19,56.005001068115234,4,0,1
2022-08-19,204.24000549316406,4,2,0
2022-09-29,54.525001525878906,4,0,1
2022-09-29,272.42999267578125,4,3,0
2022-10-27,279.7800064086914,4,3,0
2022-10-27,53.52000045776367,4,0,1
2022-11-22,54.47999954223633,4,0,1
2022-11-22,286.8300018310547,4,3,0
2022-12-12,54.44499969482422,4,0,1
2022-12-12,281.5499954223633,4,3,0
2023-01-05,55.900001525878906,4,0,1
2023-01-05,276.4800109863281,4,3,0
2023-02-22,55.4900016784668,4,0,1
2023-02-22,286.7999954223633,4,3,0
2023-03-31,58.53499984741211,4,0,1
2023-03-31,286.0199890136719,4,3,0
2023-04-17,58.650001525878906,4,0,1
2023-04-17,288.12000274658203,4,3,0
2023-05-22,58.720001220703125,4,0,1
2023-05-22,294.90000915527344,4,3,0
2023-06-15,202.0399932861328,4,2,0
2023-06-15,57.525001525878906,4,0,1
2023-07-19,56.72999954223633,4,0,1
2023-07-19,202.63999938964844,4,2,0
2023-08-10,111.97000122070312,4,0,2
2023-08-10,203.16000366210938,4,2,0
2023-09-28,56.6349983215332,4,0,1
2023-09-28,201.8800048828125,4,2,0
2023-10-05,110.95999908447266,4,0,2
2023-10-05,198.86000061035156,4,2,0
2023-11-22,206.44000244140625,4,2,0
2023-11-22,58.91999816894531,4,0,1
